id,num_orders
1028232,125.36
1127204,105.795
1212707,96.68
1082698,109.87
1400926,137.395
1284113,109.955
1197966,98.54
1132739,100.35
1057981,129.305
1095932,1375.285
1454421,1505.655
1149765,1483.16
1166964,1562.54
1010949,1601.28
1409575,1511.215
1181616,1487.215
1456020,1593.85
1264395,1580.415
1472931,1474.415
1412015,1398.625
1461229,1412.35
1014564,1561.385
1485914,1475.355
1345389,1442.205
1006833,1438.975
1174921,1442.06
1175393,1532.63
1152412,1458.41
1497398,1498.305
1363486,505.6
1366766,511.025
1192413,512.38
1319547,1182.555
1337684,483.28
1479766,474.535
1460444,489.385
1139730,505.17
1115056,481.925
1335827,495.505
1385333,389.645
1096323,440.06
1230693,304.605
1027016,343.505
1181520,338.97
1306234,443.33
1271440,397.17
1269834,371.3
1176823,339.205
1193098,334.14
1034878,1813.38
1010243,1452.345
1451807,1572.085
1016845,1583.5
1198021,1448.68
1413802,2285.495
1231223,2126.595
1274226,2173.44
1425142,2126.76
1211593,1589.435
1419190,886.935
1180223,831.42
1194932,950.085
1323477,864.83
1371595,841.305
1171521,841.305
1052384,880.17
1060921,828.81
1261811,947.46
1246502,877.475
1497466,2054.46
1232717,2075.125
1136112,2029.5
1196334,2103.455
1349533,2046.965
1463406,2042.08
1447686,2013.93
1336105,2064.15
1012855,2071.465
1180646,2050.205
1062490,378.865
1098228,351.325
1101375,360.185
1400016,367.075
1439889,345.305
1408468,380.785
1044490,369.86
1290002,364.52
1190633,385.71
1040430,352.7
1049366,319.86
1224120,318.5
1293810,340.19
1197335,407.74
1323989,379.48
1129467,352.37
1229328,343.78
1164395,358.115
1217722,320.47
1171266,326.34
1024905,428.125
1343027,379.88
1141892,369.91
1302404,389.895
1170447,400.695
1140772,391.72
1103484,387.8
1387134,407.165
1117711,423.78
1472121,386.52
1289523,115.125
1091114,113.13
1043572,139.215
1103283,108.17
1265051,137.95
1168741,123.445
1052776,139.865
1206564,124.05
1302153,133.425
1083754,135.88
1097952,285.075
1251605,310.665
1333032,278.255
1086936,280.755
1088412,324.875
1236400,284.665
1244516,280.575
1380381,329.86
1495062,315.525
1439647,286.845
1019214,1047.425
1316160,1061.585
1022008,1111.185
1138248,1075.32
1052922,1047.915
1181474,1072.33
1046475,1055.74
1216688,1067.245
1067565,1099.005
1008328,1077.545
1430287,554.44
1406716,575.665
1105380,550.035
1248694,542.02
1252163,532.085
1443474,562.53
1033716,536.23
1300295,542.135
1311882,532.085
1257968,654.575
1226362,342.565
1030655,340.46
1210527,341.415
1278927,348.13
1232239,313.9
1133067,363.275
1382522,461.12
1219136,287.605
1498130,352.325
1251629,343.29
1032092,592.085
1249865,608.985
1207630,605.395
1144733,1209.485
1436768,1172.785
1148964,608.68
1237346,607.865
1206015,583.545
1105113,605.285
1430481,569.39
1001589,155.375
1224132,188.515
1074380,187.7
1097109,214.495
1211246,189.685
1390579,190.3
1473058,221.835
1186964,159.835
